descrip,conc,1_1,1_2,2_1,2_2,3_1,3_2,4_1,4_2
Standard,2.048,0.360666666666667,0.33,0.315666666666667,0.309666666666667,0.330166666666667,0.3605,0.285833333333333,0.324833333333333
Standard,5.12,0.378666666666667,0.377666666666667,0.326,0.336333333333333,0.3115,0.3135,0.366833333333333,0.3685
Standard,12.8,0.417333333333333,0.400666666666667,0.381333333333333,0.400333333333333,0.409833333333333,0.442166666666667,0.393833333333333,0.407166666666667
Standard,32,0.504,0.51,0.498333333333333,0.543333333333333,0.554833333333333,0.568833333333333,0.495833333333333,0.494833333333333
Standard,80,0.756333333333333,0.790333333333333,0.797333333333333,0.750666666666667,0.822833333333333,0.838166666666667,0.820833333333333,0.792166666666667
Standard,200,1.43133333333333,1.39233333333333,1.40933333333333,1.366,1.3825,1.59016666666667,1.3865,1.5755
Standard,500,2.79666666666667,2.62233333333333,2.697,2.662,3.00016666666667,3.19716666666667,2.6615,2.82283333333333
QC, ,0.383333333333333,0.361666666666667,0.51,0.375666666666667,0.3995,0.3675,0.4005,0.421833333333333
QC, ,0.400666666666667,0.389666666666667,0.395,0.392,0.402166666666667,0.4265,0.405166666666667,0.400166666666667
QC, ,0.441,0.433666666666667,0.429,0.451,0.451833333333333,0.474166666666667,0.419166666666667,0.445166666666667
QC, ,0.522,0.546,0.551666666666667,0.524333333333333,0.6035,0.568833333333333,0.512833333333333,0.542833333333333
QC, ,0.699666666666667,0.718,0.757666666666667,0.800666666666667,0.778833333333333,0.823833333333333,0.772833333333333,0.7345
QC, ,1.052,1.11,1.12333333333333,1.119,1.2675,1.25683333333333,1.1705,1.18916666666667
QC, ,1.953,2.00366666666667,1.91333333333333,1.88933333333333,2.31316666666667,2.0835,2.16016666666667,2.04783333333333
